Date,From club,To club,Fee,Fee_clean_mGBP
2020-07-27,Liverpool,Brighton & Hove Albion,Free[113],0.0
2020-07-27,Liverpool,Zenit Saint Petersburg,£10.9m[114],10.9
2020-07-27,Leicester City,Queens Park Rangers,Free[119],0.0
2020-07-28,Manchester City,Sheffield Wednesday,Undisclosed[121],0.0
2020-07-30,Everton,Norwich City,Undisclosed[133],0.0
2020-08-02,Manchester United,Oldham Athletic,Free[148],0.0
2020-08-02,Crystal Palace,Doncaster Rovers,Free[151],0.0
2020-08-03,Manchester United,Carlisle United,Free[158],0.0
2020-08-04,Valencia,Manchester City,£20.87m[172],20.87
2020-08-05,Bournemouth,Manchester City,£41m[173],41.0
2020-08-06,Manchester United,Inter Milan,Free[186],0.0
2020-08-10,Olympiacos,Liverpool,£11.75m[203],11.75
2020-08-11,Southampton,Tottenham Hotspur,£15m[207],15.0
2020-08-11,Tottenham Hotspur,Southampton,£12m[207][b],12.0
2020-08-12,Chelsea,Vitória de Guimarães,Undisclosed[219],0.0
2020-08-12,Valladolid,Southampton,£10.9m[220],10.9
2020-08-13,Manchester United,Peterborough United,Free[227],0.0
2020-08-14,Wolverhampton Wanderers,Burnley,Free[238],0.0
2020-08-14,Chelsea,Arsenal,Free[240],0.0
2020-08-17,Tottenham Hotspur,Queens Park Rangers,Undisclosed[244],0.0
2020-08-17,Manchester City,Real Sociedad,Free[252],0.0
2020-08-18,Burnley,Tottenham Hotspur,Free[255],0.0
2020-08-19,Southampton,Mansfield Town,Free[263],0.0
2020-08-21,Everton,Sunderland,Free[274],0.0
2020-08-25,Manchester United,Blackpool,Free[286],0.0
2020-08-25,Chelsea,Roma,Free[291],0.0
2020-08-26,Leicester City,Chelsea,£45m[294],45.0
2020-08-27,Unattached,Chelsea,Free[303],0.0
2020-08-28,Liverpool,Reading,Undisclosed[307],0.0
2020-08-28,Queens Park Rangers,Crystal Palace,£19.5m[308],19.5
2020-08-28,Liverpool,Colchester United,Free[310],0.0
2020-08-28,Paris Saint-Germain,Chelsea,Free[316],0.0
2020-08-30,Manchester City,Real Betis,Free[322],0.0
2020-08-30,Wolverhampton Wanderers,Tottenham Hotspur,Undisclosed[323],0.0
2020-08-30,Southampton,Fulham,Undisclosed[324][b],0.0
2020-08-31,Leicester City,Scunthorpe United,Free[325],0.0
2020-08-31,Arsenal,Roma,Free[326][b],0.0
2020-09-01,Manchester City,Juventus,£9.5m[332],9.5
2020-09-01,Lille,Arsenal,£27m[337],27.0
2020-09-01,Liverpool,Cambridge United,Free[338],0.0
2020-09-01,Chelsea,Atalanta,£13.4m[340],13.4
2020-09-02,Leicester City,Rotherham United,Free[343],0.0
2020-09-02,Ajax,Manchester United,£35m[348],35.0
2020-09-03,Atalanta,Leicester City,£25m[350],25.0
2020-09-03,Southampton,Walsall,Free[355],0.0
2020-09-04,Bayer Leverkusen,Chelsea,£71m[365],71.0
2020-09-04,Southampton,Hull City,Undisclosed[367],0.0
2020-09-04,Manchester United,Blackpool,Free[370],0.0
2020-09-04,Burnley,Barrow,Free[373],0.0
2020-09-05,Napoli,Everton,£21.7m[375],21.7
2020-09-07,Liverpool,Barnsley,Free[386],0.0
2020-09-07,Real Madrid,Everton,£12m[393],12.0
2020-09-08,Watford,Everton,£20m[395],20.0
2020-09-09,Burnley,Melbourne City,Free[406],0.0
2020-09-11,Manchester United,Burton Albion,Free[419],0.0
