DATE,Player,FROM,TO,FEE
Dec 23,Rolf Feltscher,LALA Galaxy,FWKWürzburger Kickers,Free
Dec 23,Wilfrid Kaptoum,No teamNo team,NENew England Revolution,Free
Dec 23,Andrew Tarbell,CLBColumbus Crew,Austin FCAustin FC,Free
Dec 23,Bradley Wright-Phillips,No teamNo team,CLBColumbus Crew,Free
Dec 22,Jhohan Romaña,GUAGuarani,Austin FCAustin FC,Undisclosed
Dec 22,Jáder Obrian,AGDÁguilas Doradas,DALFC Dallas,Allocation
Dec 22,Mikey Ambrose,MIAInter Miami CF,ATLAtlanta United FC,Free
Dec 22,Marco Ureña,Gwangju FCGwangju FC,CCMCentral Coast Mariners,Free
Dec 22,Rémi Walter,No teamNo team,SKCSporting Kansas City,Free
Dec 21,Christian Mafla,NALAtlético Nacional,NENew England Revolution,Undisclosed
Dec 21,Jose Antonio Martinez,EIBEibar,DALFC Dallas,Undisclosed
Dec 21,Hector Jimenez,CLBColumbus Crew,Austin FCAustin FC,Allocation
Dec 18,Fafà Picault,DALFC Dallas,HOUHouston Dynamo FC,Swap
Dec 17,Claudio Bravo,BANBanfield,PORPortland Timbers,Allocation
Dec 17,Djordje Mihailovic,CHIChicago Fire FC,MTLCF Montréal,Allocation
Dec 17,Ziggy Gordon,CCMCentral Coast Mariners,WSWWestern Sydney Wanderers,Free
Dec 17,Alexander Ring,NYCNew York City FC,Austin FCAustin FC,Swap
Dec 15,Joe Corona,LALA Galaxy,Austin FCAustin FC,Allocation
Dec 15,Danny Hoesen,SJSan Jose Earthquakes,Austin FCAustin FC,Allocation
Dec 15,Kamal Miller,ORLOrlando City SC,Austin FCAustin FC,Allocation
